Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G,Season
New York Knicks*,39,18,0.684,NA,40,17,109.7,103,1971
Philadelphia 76ers*,34,24,0.586,5.5,32,26,114.3,112.8,1971
Boston Celtics,30,26,0.536,8.5,32,24,118.7,116.5,1971
Buffalo Braves,16,44,0.267,24.5,18,42,104.6,111.3,1971
Baltimore Bullets*,32,22,0.593,NA,31,23,113.7,111.4,1971
Cincinnati Royals,23,31,0.426,9,23,31,116.6,119.2,1971
Atlanta Hawks*,19,37,0.339,14,22,34,112.4,116,1971
Cleveland Cavaliers,10,48,0.172,24,9,49,101,113.9,1971
Milwaukee Bucks*,44,9,0.83,NA,44,9,120.3,107,1971
Detroit Pistons,35,20,0.636,10,28,27,110.2,109.9,1971
Phoenix Suns,34,23,0.596,12,35,22,115,111.4,1971
Chicago Bulls*,32,22,0.593,12.5,35,19,110.8,106.3,1971
Los Angeles Lakers*,31,22,0.585,NA,33,20,116.6,112.6,1971
San Francisco Warriors*,30,26,0.536,2.5,28,28,106.7,106.7,1971
Seattle SuperSonics,25,30,0.455,7,23,32,113.7,116.7,1971
San Diego Rockets,24,34,0.414,9.5,26,32,112.3,114.2,1971
Portland Trail Blazers,17,39,0.304,15.5,19,37,114.4,120.4,1971
Boston Celtics*,38,18,0.679,NA,36,20,114,109.4,1972
New York Knicks*,31,21,0.596,5,32,20,107.7,104.1,1972
Philadelphia 76ers,22,31,0.415,14.5,21,32,113.8,117,1972
Buffalo Braves,15,36,0.294,20.5,13,38,101.6,109.6,1972
Baltimore Bullets*,24,28,0.462,NA,24,28,107.6,108.6,1972
Atlanta Hawks*,20,33,0.377,4.5,20,33,108.5,112.3,1972
Cleveland Cavaliers,17,37,0.315,8,15,39,103.2,110.6,1972
Cincinnati Royals,16,35,0.314,7.5,17,34,105.4,110.7,1972
Milwaukee Bucks*,44,11,0.8,NA,47,8,115,101.5,1972
Chicago Bulls*,38,16,0.704,5.5,40,14,111.2,103.2,1972
Phoenix Suns,32,24,0.571,12.5,37,19,116.2,110.8,1972
Detroit Pistons,18,36,0.333,25.5,15,39,107.6,115,1972
Los Angeles Lakers*,44,7,0.863,NA,42,9,121.4,108.5,1972
Golden State Warriors*,33,21,0.611,12.5,28,26,106,105.3,1972
Seattle SuperSonics,32,23,0.582,14,31,24,108.9,107.1,1972
Houston Rockets,19,34,0.358,26,20,33,108,111.8,1972
Portland Trail Blazers,12,44,0.214,34.5,12,44,107.3,118,1972
Boston Celtics*,41,9,0.82,NA,39,11,113.2,103.2,1973
New York Knicks*,43,13,0.768,1,42,14,105.7,97.5,1973
Buffalo Braves,17,35,0.327,25,12,40,100.7,109.6,1973
Philadelphia 76ers,4,51,0.073,39.5,8,47,102.8,116.4,1973
Baltimore Bullets*,33,18,0.647,NA,33,18,104.2,99.6,1973
Atlanta Hawks*,29,26,0.527,6,27,28,110.9,111.2,1973
Houston Rockets,21,32,0.396,13,22,31,110.1,112.6,1973
Cleveland Cavaliers,19,33,0.365,14.5,21,31,100.1,103.3,1973
Milwaukee Bucks*,37,15,0.712,NA,40,12,106.2,97.5,1973
Chicago Bulls*,31,20,0.608,5.5,31,20,103.2,99.9,1973
Kansas City-Omaha Kings,26,31,0.456,13.5,23,34,107.4,110.4,1973
Detroit Pistons,22,31,0.415,15.5,25,28,109.9,111,1973
Los Angeles Lakers*,41,11,0.788,NA,41,11,113,103.2,1973
Golden State Warriors*,33,21,0.611,9,34,20,108.4,104.1,1973
Phoenix Suns,25,28,0.472,16.5,25,28,109.3,110.4,1973
Seattle SuperSonics,17,38,0.309,25.5,16,39,100.7,107.3,1973
Portland Trail Blazers,13,40,0.245,28.5,15,38,104.6,111.9,1973
Boston Celtics*,37,12,0.755,NA,33,16,110.9,105.3,1974
New York Knicks*,32,22,0.593,7.5,33,21,100.6,97.2,1974
Buffalo Braves*,26,29,0.473,14,24,31,110.5,112.8,1974
Philadelphia 76ers,15,36,0.294,23,16,35,100.6,106.7,1974
Capital Bullets*,28,23,0.549,NA,27,24,101.2,100.4,1974
Atlanta Hawks,23,31,0.426,6.5,25,29,110.7,111.7,1974
Cleveland Cavaliers,19,37,0.339,11.5,19,37,99.5,104.6,1974
Houston Rockets,18,37,0.327,12,25,30,104.9,106.2,1974
Milwaukee Bucks*,40,12,0.769,NA,42,10,109.1,98.4,1974
Chicago Bulls*,37,18,0.673,4.5,33,22,102.6,99.9,1974
Detroit Pistons*,35,19,0.648,6,37,17,104.7,98.9,1974
Kansas City-Omaha Kings,21,36,0.368,21.5,20,37,102.1,106.8,1974
Los Angeles Lakers*,30,22,0.577,NA,26,26,108.3,108.4,1974
Golden State Warriors,27,22,0.551,1.5,28,21,107.9,106,1974
Seattle SuperSonics,25,33,0.431,8,24,34,105.7,108.3,1974
Phoenix Suns,21,32,0.396,9.5,22,31,108.8,111.5,1974
Portland Trail Blazers,19,32,0.373,10.5,20,31,107,110.7,1974
Boston Celtics*,34,14,0.708,NA,33,15,107.8,101.8,1975
Buffalo Braves*,33,18,0.647,2.5,31,20,109.1,106,1975
New York Knicks*,26,24,0.52,9,22,28,99.5,101,1975
Philadelphia 76ers,20,30,0.4,15,21,29,99.6,102.2,1975
Washington Bullets*,36,13,0.735,NA,35,14,103.7,97.2,1975
Houston Rockets*,25,25,0.5,11.5,28,22,103.7,102.2,1975
Cleveland Cavaliers,23,26,0.469,13,24,25,99.1,99.3,1975
Atlanta Hawks,21,33,0.389,17.5,26,28,105.3,105.9,1975
New Orleans Jazz,5,42,0.106,30,8,39,97.4,109.4,1975
Detroit Pistons*,31,21,0.596,NA,28,24,98.8,97.5,1975
Chicago Bulls*,28,21,0.571,1.5,29,20,97.5,94.8,1975
Milwaukee Bucks,24,24,0.5,5,24,24,99.3,99,1975
Kansas City-Omaha Kings*,25,26,0.49,5.5,22,29,100.1,101.9,1975
Golden State Warriors*,30,19,0.612,NA,31,18,109.5,105.5,1975
Seattle SuperSonics*,24,26,0.48,6.5,21,29,102.9,105.2,1975
Portland Trail Blazers,22,28,0.44,8.5,25,25,105.1,105.2,1975
Phoenix Suns,20,27,0.426,9,21,26,101.6,103.1,1975
Los Angeles Lakers,19,29,0.396,10.5,19,29,102.7,105.9,1975
Boston Celtics*,34,13,0.723,NA,31,16,108.6,103.7,1976
Buffalo Braves*,30,20,0.6,5.5,29,21,108,105.8,1976
Philadelphia 76ers*,29,20,0.592,6,25,24,106.5,106.1,1976
New York Knicks,24,27,0.471,12,23,28,103.6,105,1976
Washington Bullets*,28,21,0.571,NA,26,23,101.4,100.7,1976
Cleveland Cavaliers*,27,22,0.551,1,28,21,102.1,99.8,1976
Houston Rockets,23,23,0.5,3.5,21,25,104.7,105.9,1976
Atlanta Hawks,24,25,0.49,4,25,24,102.2,102.1,1976
New Orleans Jazz,22,24,0.478,4.5,22,24,102.1,103,1976
Milwaukee Bucks*,20,29,0.408,NA,19,30,97.9,100.9,1976
Detroit Pistons*,18,28,0.391,0.5,21,25,104.7,106.1,1976
Kansas City Kings,18,31,0.367,2,18,31,101.1,105,1976
Chicago Bulls,14,34,0.292,5.5,17,31,94.4,98.4,1976
Golden State Warriors*,35,13,0.729,NA,37,11,109.6,100.8,1976
Los Angeles Lakers,25,25,0.5,11,24,26,107.6,108.2,1976
Seattle SuperSonics*,23,26,0.469,12.5,20,29,102.7,105.2,1976
Portland Trail Blazers,22,27,0.449,13.5,25,24,103.5,103.4,1976
Phoenix Suns*,19,27,0.413,15,22,24,104.8,105.3,1976
Philadelphia 76ers*,29,18,0.617,NA,30,17,108.3,103.9,1977
Boston Celtics*,23,26,0.469,7,20,29,104.6,107.2,1977
New York Knicks,22,25,0.468,7,21,26,106.6,108,1977
Buffalo Braves,17,30,0.362,12,17,30,107.4,111.5,1977
New York Nets,13,34,0.277,16,14,33,96.1,102,1977
Washington Bullets*,27,19,0.587,NA,24,22,103.4,103,1977
Houston Rockets*,26,20,0.565,1,24,22,106.1,105.7,1977
Cleveland Cavaliers*,26,21,0.553,1.5,26,21,102.3,101,1977
San Antonio Spurs*,26,23,0.531,2.5,24,25,114.6,114.7,1977
New Orleans Jazz,22,27,0.449,6.5,22,27,105.3,106.9,1977
Atlanta Hawks,18,33,0.353,11.5,17,34,103.1,108.3,1977
Denver Nuggets*,32,15,0.681,NA,33,14,112.9,105.9,1977
Detroit Pistons*,29,21,0.58,4.5,25,25,110.1,110.2,1977
Kansas City Kings,26,25,0.51,8,27,24,106,104.8,1977
Indiana Pacers,23,27,0.46,10.5,24,26,106.7,107.6,1977
Chicago Bulls*,20,29,0.408,13,20,29,95.7,98.4,1977
Milwaukee Bucks,15,38,0.283,20,19,34,107.2,111.9,1977
Los Angeles Lakers*,33,16,0.673,NA,32,17,109,104.1,1977
Portland Trail Blazers*,34,17,0.667,NA,38,13,111,103.2,1977
Golden State Warriors*,26,22,0.542,6.5,27,21,111,109.1,1977
Seattle SuperSonics,26,24,0.52,7.5,24,26,105.1,105.9,1977
Phoenix Suns,22,25,0.468,10,26,21,102.7,101.4,1977
Philadelphia 76ers*,33,14,0.702,NA,31,16,113.6,108.3,1978
New York Knicks*,26,23,0.531,8,24,25,110.7,111.2,1978
Buffalo Braves,16,29,0.356,16,18,27,102.9,105.7,1978
Boston Celtics,16,30,0.348,16.5,17,29,105.2,109,1978
New Jersey Nets,9,41,0.18,25.5,12,38,104.1,112.8,1978
San Antonio Spurs*,30,18,0.625,NA,29,19,113.7,110.6,1978
Washington Bullets*,26,21,0.553,3.5,25,22,109.3,108.2,1978
New Orleans Jazz,26,24,0.52,5,23,27,107.7,109.1,1978
Cleveland Cavaliers*,22,24,0.478,7,21,25,102.1,103.3,1978
Atlanta Hawks*,23,27,0.46,8,23,27,103.2,104.3,1978
Houston Rockets,17,31,0.354,13,20,28,102.9,105.7,1978
Denver Nuggets*,31,18,0.633,NA,27,22,112.7,111,1978
Chicago Bulls,27,23,0.54,4.5,26,24,104.8,104.1,1978
Milwaukee Bucks*,26,25,0.51,6,24,27,112.3,113.2,1978
Detroit Pistons,23,25,0.479,7.5,23,25,106.6,107,1978
Indiana Pacers,19,28,0.404,11,20,27,107.8,110.4,1978
Kansas City Kings,16,34,0.32,15.5,19,31,107.4,111,1978
Portland Trail Blazers*,39,8,0.83,NA,37,10,110.9,100.6,1978
Phoenix Suns*,33,16,0.673,7,33,16,112.6,106.9,1978
Seattle SuperSonics*,27,22,0.551,13,26,23,103.9,102.9,1978
Golden State Warriors,24,25,0.49,16,25,24,105.4,105.1,1978
Los Angeles Lakers*,23,26,0.469,17,26,23,108.1,107,1978
Washington Bullets*,35,15,0.7,NA,34,16,115,109,1979
Philadelphia 76ers*,30,18,0.625,4,28,20,110.3,107.5,1979
New Jersey Nets*,23,25,0.479,11,18,30,109.4,113.4,1979
New York Knicks,23,30,0.434,13.5,22,31,107.7,110.4,1979
Boston Celtics,18,31,0.367,16.5,18,31,106.5,110.7,1979
San Antonio Spurs*,31,21,0.596,NA,36,16,119.6,112.8,1979
